<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
xxxx;D;200103;000000;230.525;231.7;229.975;231.2;2376468
xxxx;D;200106;000000;230.55;230.975;229.65;230.55;1595192
xxxx;D;200108;000000;231.05;235;231;232.625;5727468
xxxx;D;200109;000000;234.1;236.5;232.875;235.375;5893216
xxxx;D;200110;000000;235.6;239.45;235.025;238;5974320
xxxx;D;200113;000000;238.25;241.25;238.05;240.3;6525562
xxxx;D;200114;000000;240.75;242.125;235.5;236.3;7885366
xxxx;D;200115;000000;236;240.75;233.5;234.025;11951454
xxxx;D;200116;000000;235.05;239.125;235;239.125;6168468
xxxx;D;200117;000000;239.125;241;238.5;240.175;5596880
xxxx;D;200120;000000;240.75;244.2;240;240.075;8951860
xxxx;D;200121;000000;240.075;251.25;237.075;249.05;31238966
xxxx;D;200122;000000;249.7;251.25;244.425;244.85;10303060
xxxx;D;200123;000000;243;247.25;241;242.5;8608640
xxxx;D;200124;000000;243.75;245.575;240;240;7977554
xxxx;D;200127;000000;237.475;238.35;231.25;234.1;10070426
xxxx;D;200128;000000;235.625;236.475;232.125;236;5206370
xxxx;D;200129;000000;236.625;238.9;235;237.7;6898428
xxxx;D;200130;000000;236.65;238.675;235.05;235.225;4482164
xxxx;D;200131;000000;237.05;237.8;232;232;6008302
xxxx;D;200203;000000;230.3;232.825;229.175;230.75;5748806
xxxx;D;200204;000000;231.85;237.175;231.65;236.275;7699806
xxxx;D;200205;000000;236.65;240.875;235.125;238.4;7901626
xxxx;D;200206;000000;240;241.75;238.55;240.375;6077158
xxxx;D;200207;000000;240.2;241.15;237;240.45;3498560
xxxx;D;200210;000000;240.575;242.5;237;237;6949636
xxxx;D;200211;000000;238;238.95;237.1;237.2;5602294
xxxx;D;200212;000000;237.4;240.25;237.25;239.35;3927092
xxxx;D;200213;000000;238.925;241.8;237.925;240;5720036
xxxx;D;200214;000000;240.6;241.25;238.675;239.425;2323122
xxxx;D;200217;000000;240.375;240.9;239.4;240.475;1835518
xxxx;D;200218;000000;239.625;239.975;236;236.025;4749430
xxxx;D;200219;000000;237;237.9;236.4;237.35;2758896
xxxx;D;200220;000000;237.825;238.925;237.55;237.55;2521326
xxxx;D;200221;000000;236.95;240.5;236;239.8;3954278
xxxx;D;200225;000000;236.75;241.375;236.1;236.475;10537906
xxxx;D;200226;000000;235.25;238.7;232.6;236.15;10443274
xxxx;D;200227;000000;234.725;235.65;226.55;226.95;9260606
xxxx;D;200228;000000;221.5;222.475;212.15;216.65;17778764
xxxx;D;200302;000000;220.7;222.2;213.075;215;12841586
xxxx;D;200303;000000;218.55;220.95;214.175;216.275;10137124
xxxx;D;200304;000000;214.125;219;213.5;215.775;5737690
xxxx;D;200305;000000;217.875;218.9;214.625;215.35;5075082
xxxx;D;200306;000000;212.925;213;204.175;206.1;12488844
xxxx;D;200310;000000;185.5;198.5;173.9;187.25;20019046
xxxx;D;200311;000000;191.425;191.425;180.85;181.775;11740880
xxxx;D;200312;000000;174.975;174.975;153.675;155.6;29331304
xxxx;D;200313;000000;158.825;164.975;156;157.875;26143906
xxxx;D;200316;000000;151.825;154.725;143.775;150.75;23662862
xxxx;D;200317;000000;151.425;157.2;144.525;148.675;18098670
xxxx;D;200318;000000;145.5;146.95;138;140.7;18070060
