<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
xxxx;D;200103;000000;3440;3460;3431;3445.5;291955
xxxx;D;200106;000000;3446;3455.5;3407;3416;290909
xxxx;D;200108;000000;3416;3432;3381;3427;388549
xxxx;D;200109;000000;3312;3368.5;3300.5;3348;492797
xxxx;D;200110;000000;3350;3379;3312;3319.5;376849
xxxx;D;200113;000000;3330;3347.5;3306.5;3345;222572
xxxx;D;200114;000000;3347.5;3370.5;3325.5;3339;362009
xxxx;D;200115;000000;3342;3463;3334.5;3440;1536221
xxxx;D;200116;000000;3463.5;3629.5;3460;3625;1630349
xxxx;D;200117;000000;3661.5;3700;3590.5;3623;1422107
xxxx;D;200120;000000;3640;3889.5;3638;3855;1596925
xxxx;D;200121;000000;3840.5;3885;3714.5;3840;1137798
xxxx;D;200122;000000;3860;3939;3750;3750;1202119
xxxx;D;200123;000000;3724;3750;3632;3702.5;890575
xxxx;D;200124;000000;3731;3815;3706.5;3796;1028616
xxxx;D;200127;000000;3752;3763;3683;3708.5;585063
xxxx;D;200128;000000;3719;3812;3708;3751;597899
xxxx;D;200129;000000;3759;3870;3731;3819.5;717748
xxxx;D;200130;000000;3796;3874;3775.5;3830;617826
xxxx;D;200131;000000;3851.5;3870;3727;3727;682379
xxxx;D;200203;000000;3699;3761;3668;3720.5;559676
xxxx;D;200204;000000;3742;3797;3725;3750;453596
xxxx;D;200205;000000;3759.5;3805.5;3700;3783.5;1004108
xxxx;D;200206;000000;3814.5;3839;3655;3713;1505151
xxxx;D;200207;000000;3715.5;3727;3625.5;3640;652734
xxxx;D;200210;000000;3639;3657.5;3507;3564.5;779546
xxxx;D;200211;000000;3571;3597;3512;3575;594896
xxxx;D;200212;000000;3570;3760;3563;3760;1114425
xxxx;D;200213;000000;3750;3806.5;3712.5;3750;851663
xxxx;D;200214;000000;3762;3768.5;3661;3669;480070
xxxx;D;200217;000000;3685;3718;3651.5;3697;452693
xxxx;D;200218;000000;3688.5;3688.5;3605;3620;460542
xxxx;D;200219;000000;3631;3668;3557.5;3640.5;547359
xxxx;D;200220;000000;3651;3670;3617;3641;269194
xxxx;D;200221;000000;3623;3651.5;3591;3625;312226
xxxx;D;200225;000000;3556;3598.5;3500;3503;433180
