<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
xxxx;D;240926;000000;3896;4095;3719;3935;2351224
xxxx;D;240927;000000;3949;4258;3940;4198;1060674
xxxx;D;240930;000000;4251;4498;4230;4498;972135
xxxx;D;241001;000000;4490;4548;4281;4281;907960
xxxx;D;241002;000000;4299;4400;4159;4226;587278
xxxx;D;241003;000000;4307;4383;4264;4280;967832
xxxx;D;241004;000000;4285;4305;4182;4240;404226
xxxx;D;241007;000000;4241;4270;4103;4164;344310
xxxx;D;241008;000000;4157;4256;4054;4201;497211
xxxx;D;241009;000000;4200;4248;4160;4170;212295
xxxx;D;241010;000000;4191;4219;4152;4189;208014
xxxx;D;241011;000000;4186;4186;4102;4140;133727
xxxx;D;241014;000000;4150;4189;4063;4150;288355
xxxx;D;241015;000000;4148;4183;4119;4149;224809
xxxx;D;241016;000000;4160;4218;4100;4117;245055
xxxx;D;241017;000000;4130;4159;4095;4113;172692
xxxx;D;241018;000000;4112;4131;4069;4070;157406
xxxx;D;241021;000000;4070;4113;4031;4060;185869
xxxx;D;241022;000000;4059;4059;3933;3998;368425
xxxx;D;241023;000000;3980;4177;3911;4090;634195
xxxx;D;241024;000000;4100;4231;4065;4195;381496
xxxx;D;241025;000000;4219;4250;4010;4160;632398
xxxx;D;241028;000000;4133;4136;4050;4100;275952
xxxx;D;241029;000000;4499;4500;4186;4312;1580082
xxxx;D;241030;000000;4329;4341;4275;4290;280396
xxxx;D;241031;000000;4250;4270;4186;4190;228164
xxxx;D;241101;000000;4209;4249;4194;4228;151826
xxxx;D;241102;000000;4232;4269;4221;4245;91586
