<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
xxxx;D;200103;000000;6203.5;6294;6185;6294;791658
xxxx;D;200106;000000;6300;6382;6284.5;6382;751576
xxxx;D;200108;000000;6401;6513;6350.5;6496.5;974042
xxxx;D;200109;000000;6450;6523.5;6393.5;6430;876659
xxxx;D;200110;000000;6432.5;6505;6395;6490;497687
xxxx;D;200113;000000;6495;6541.5;6465;6530;577701
xxxx;D;200114;000000;6544.5;6566.5;6459.5;6520.5;718439
xxxx;D;200115;000000;6515.5;6574;6480;6552.5;1053251
xxxx;D;200116;000000;6558;6596;6542;6590;1019894
xxxx;D;200117;000000;6589.5;6714.5;6581;6685;1209611
xxxx;D;200120;000000;6700;6770;6684.5;6717;446394
xxxx;D;200121;000000;6689;6716;6611;6708.5;548342
xxxx;D;200122;000000;6713.5;6810;6655.5;6655.5;867837
xxxx;D;200123;000000;6619.5;6633.5;6536.5;6590;1217162
xxxx;D;200124;000000;6608;6650;6592.5;6620;506775
xxxx;D;200127;000000;6549.5;6569.5;6413;6545;1073913
xxxx;D;200128;000000;6568;6657;6503.5;6650;769434
xxxx;D;200129;000000;6691;6726;6601.5;6633;944493
xxxx;D;200130;000000;6498.5;6535;6415;6443.5;1580771
xxxx;D;200131;000000;6635;6670;6540.5;6550.5;1742128
xxxx;D;200203;000000;6519.5;6600;6517;6594.5;2671005
xxxx;D;200204;000000;6602;6633;6490;6500;1670313
xxxx;D;200205;000000;6514;6595;6452;6550.5;1105040
xxxx;D;200206;000000;6584.5;6605;6501;6506.5;685669
xxxx;D;200207;000000;6510;6529;6405;6450.5;938705
xxxx;D;200210;000000;6450.5;6451.5;6350;6410;946881
xxxx;D;200211;000000;6420;6441.5;6324.5;6397.5;1291961
xxxx;D;200212;000000;6397;6466;6384.5;6466;948883
xxxx;D;200213;000000;6455;6500;6388;6470.5;711876
xxxx;D;200214;000000;6486;6498;6410;6451;484387
xxxx;D;200217;000000;6439;6483.5;6431;6463;350221
xxxx;D;200218;000000;6441;6442;6350.5;6378.5;713980
xxxx;D;200219;000000;6407.5;6516;6405;6509;636605
xxxx;D;200220;000000;6522;6560;6492.5;6543.5;741043
xxxx;D;200221;000000;6519;6527.5;6450;6450;612319
xxxx;D;200225;000000;6301;6348;6150.5;6165;1427706
xxxx;D;200226;000000;6149;6268;6105.5;6256.5;1645203
xxxx;D;200227;000000;6140;6186;6000;6000;1505993
