<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
xxxx;D;200103;000000;453.75;458.65;453.35;456.9;4364310
xxxx;D;200106;000000;458.8;460.4;453.4;455.6;6817630
xxxx;D;200108;000000;456;462.7;451.45;452;9228840
xxxx;D;200109;000000;452.4;460.95;450.7;460.2;4979740
xxxx;D;200110;000000;459.9;475.65;456.85;473.5;6694220
xxxx;D;200113;000000;474.45;482.25;472.15;481.15;4807490
xxxx;D;200114;000000;481.2;486.45;472.7;475.5;6552170
xxxx;D;200115;000000;474.65;482.1;469.95;474.5;4594560
xxxx;D;200116;000000;477.95;481.5;476.7;480.95;4122720
xxxx;D;200117;000000;482.45;487.2;481.25;485.15;4462140
xxxx;D;200120;000000;488;489.9;484.65;484.85;3123590
xxxx;D;200121;000000;482.55;486.85;479;486.15;2917150
xxxx;D;200122;000000;486.25;488.55;476.05;478.15;11723480
xxxx;D;200123;000000;475.05;479.7;470.6;473.1;4178020
xxxx;D;200124;000000;475.1;478.4;473.5;474;3296670
xxxx;D;200127;000000;469.1;473.8;465.8;468.3;5666060
xxxx;D;200128;000000;472;477.7;468.2;477.7;5878730
xxxx;D;200129;000000;480.05;482;475.6;481.7;6303100
xxxx;D;200130;000000;480.55;483.3;477.8;481.2;14579330
xxxx;D;200131;000000;483.6;486;478.75;480.5;8590650
xxxx;D;200203;000000;478.6;481.45;476.6;479.95;4669800
xxxx;D;200204;000000;481.35;483;478.35;480;8779820
xxxx;D;200205;000000;481;481.5;474.4;477;5656150
xxxx;D;200206;000000;478.55;480.5;471;475.6;4753390
xxxx;D;200207;000000;475.5;476.75;450.55;463.6;16661800
xxxx;D;200210;000000;463.65;463.85;447.8;450;8838180
xxxx;D;200211;000000;454.7;456.7;448.25;454.3;7800690
xxxx;D;200212;000000;456.45;465.8;455.5;465.8;7398340
xxxx;D;200213;000000;463.8;465.5;458.55;463;5194490
xxxx;D;200214;000000;462.6;464.4;456.25;460.5;4927690
xxxx;D;200217;000000;460.9;464.7;459.7;464.7;2861190
xxxx;D;200218;000000;462.5;466;440.7;452.2;12451240
xxxx;D;200219;000000;455.4;469;455.4;465.65;10639740
xxxx;D;200220;000000;468.2;476.95;465.6;470.4;9020310
xxxx;D;200221;000000;468.5;469;461.65;461.75;6003350
xxxx;D;200225;000000;455.15;458.75;442.7;443.85;7315110
xxxx;D;200226;000000;441.7;444.6;431.5;443.7;9685810
xxxx;D;200227;000000;436.9;440;420.95;422.05;9692300
xxxx;D;200228;000000;416.1;417;398.15;403.4;18857900
xxxx;D;200302;000000;410.95;415.4;389.5;394.5;11836540
xxxx;D;200303;000000;406.05;411.95;400.5;406;11093190
xxxx;D;200304;000000;402.95;416.55;399.2;415.95;9077990
xxxx;D;200305;000000;417.8;420;408.5;410.6;8604330
xxxx;D;200306;000000;405.95;406.95;391.05;392.95;12738960
xxxx;D;200310;000000;353.7;357.4;320;326.5;38145830
xxxx;D;200311;000000;332.7;334.4;310.95;314.05;20713740
xxxx;D;200312;000000;300;305;270.8;277.5;29181800
xxxx;D;200313;000000;262;288.65;261.4;266.25;44524210
xxxx;D;200316;000000;266.25;280;251;258.5;30921610
xxxx;D;200317;000000;260.65;268;246.25;249.15;19681860
