<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
xxxx;D;200103;000000;2712.2;2718;2677.4;2685;263527
xxxx;D;200106;000000;2682.2;2682.2;2650.6;2672;226702
xxxx;D;200108;000000;2663.8;2707;2636.2;2677;252503
xxxx;D;200109;000000;2685;2737.2;2683.4;2728.4;306731
xxxx;D;200110;000000;2728.6;2760;2700.2;2725;308125
xxxx;D;200113;000000;2713.4;2729.8;2692;2703.4;330909
xxxx;D;200114;000000;2719;2750;2683.8;2685;468516
xxxx;D;200115;000000;2677;2708.4;2660;2690;415484
xxxx;D;200116;000000;2678.2;2869.2;2673.2;2719.8;1470744
xxxx;D;200117;000000;2732.2;2776.8;2726.2;2772.8;668860
xxxx;D;200120;000000;2790;2827;2777;2800;339337
xxxx;D;200121;000000;2799.6;2799.6;2762.6;2770;350182
xxxx;D;200122;000000;2783.2;2799.6;2673.2;2790;755887
xxxx;D;200123;000000;2791;2826.6;2740;2820.2;480427
xxxx;D;200124;000000;2798;2818;2775.8;2798;366624
xxxx;D;200127;000000;2789.2;2802;2735.2;2780;481600
xxxx;D;200128;000000;2785.2;2813.8;2765.6;2799.8;357013
xxxx;D;200129;000000;2812.4;2890;2812.4;2890;679946
xxxx;D;200130;000000;2880;2905;2852.4;2888;344028
xxxx;D;200131;000000;2895;2913;2865.4;2873.4;296170
xxxx;D;200203;000000;2856.8;2899.6;2843.2;2880.6;270342
xxxx;D;200204;000000;2911.8;2994.8;2907;2990;469932
xxxx;D;200205;000000;3010.6;3081;2992.4;3008.2;692586
xxxx;D;200206;000000;3030;3076;3003.4;3048.2;389930
xxxx;D;200207;000000;3058.6;3140;3022.4;3103.8;479731
xxxx;D;200210;000000;3104.6;3143;3065;3087.2;422510
xxxx;D;200211;000000;3100;3131.2;3066.2;3085;340079
xxxx;D;200212;000000;3081;3083.2;3033;3037.2;551073
xxxx;D;200213;000000;3066.6;3097;3035.2;3087.4;516454
xxxx;D;200214;000000;3119.8;3127.6;2950.8;3011;1995630
xxxx;D;200217;000000;2980.4;2989.8;2935.4;2983.6;497430
xxxx;D;200218;000000;2990;2992.4;2917.2;2937;582824
xxxx;D;200219;000000;2921.4;2991.2;2912.6;2953;728333
xxxx;D;200220;000000;2945;2996.4;2941.4;2988.4;738945
xxxx;D;200221;000000;2975;2996;2910.6;2911.8;645644
xxxx;D;200225;000000;2799.8;2869.8;2672.6;2681.8;2303488
xxxx;D;200226;000000;2661.2;2704.8;2538.4;2690.8;2316101
xxxx;D;200227;000000;2665;2744.4;2620.4;2678.2;1662998
xxxx;D;200228;000000;2624.8;2686;2540.2;2659.8;1464045
xxxx;D;200302;000000;2732.8;2762.8;2615.2;2721.4;1290610
xxxx;D;200303;000000;2744;2784.8;2701.4;2723;971355
xxxx;D;200304;000000;2680;2708.8;2632.6;2654.2;697745
xxxx;D;200305;000000;2743;2744.6;2643.2;2728.2;894054
xxxx;D;200306;000000;2700.8;2711.8;2556;2685;1005756
xxxx;D;200310;000000;2520;2757.8;2500;2590;1510732
xxxx;D;200311;000000;2619.6;2640;2520;2615;910964
xxxx;D;200312;000000;2559.8;2560;2350;2460;1547538
xxxx;D;200313;000000;2439.8;2620.6;2400;2470;1221313
xxxx;D;200316;000000;2459.6;2459.6;2241.2;2370;1286296
xxxx;D;200317;000000;2320;2438.8;2257;2425;1078574
xxxx;D;200318;000000;2357;2400;2251;2318.8;1288232
xxxx;D;200319;000000;2345.4;2464.4;2273.2;2434;1509790
xxxx;D;200320;000000;2484;2593.4;2414;2455.2;1335704
xxxx;D;200323;000000;2376.8;2494.4;2295;2299.8;1233149
xxxx;D;200324;000000;2365;2489;2363;2459;1072509
xxxx;D;200325;000000;2549.8;2595;2480.2;2555.8;1339722
xxxx;D;200326;000000;2587.8;2640;2505;2610;1169462
xxxx;D;200327;000000;2649.8;2668;2552.6;2597;798730
xxxx;D;200330;000000;2589.6;2678.8;2577;2670.2;659554
xxxx;D;200331;000000;2700;2749.4;2647;2714.4;815448
xxxx;D;200401;000000;2653;2679.6;2591;2605.8;762168
xxxx;D;200402;000000;2621;2650;2493.8;2550.8;1102131
xxxx;D;200403;000000;2540.2;2584;2514.4;2520;915527
xxxx;D;200406;000000;2566;2609;2536.2;2582;785518
xxxx;D;200407;000000;2607;2695;2602.2;2668;910645
xxxx;D;200408;000000;2622;2742.6;2600.2;2742.6;758024
xxxx;D;200409;000000;2722.8;2755.8;2661.2;2697.2;1045760
xxxx;D;200410;000000;2705;2705;2671.6;2701;262317
xxxx;D;200413;000000;2667.8;2688;2623.2;2659;349223
xxxx;D;200414;000000;2697.8;2782.4;2687.6;2755.6;907990
xxxx;D;200415;000000;2717.6;2719.8;2584.4;2588.2;775540
xxxx;D;200416;000000;2606.8;2680;2570.2;2637.8;708410
xxxx;D;200417;000000;2655.6;2668.8;2620.2;2630.4;457724
xxxx;D;200420;000000;2664;2746;2642;2736.4;863566
xxxx;D;200421;000000;2681.8;2695.4;2601;2659.2;1018160
xxxx;D;200422;000000;2650;2706.8;2631.2;2655;785080
xxxx;D;200423;000000;2668;2677;2621.4;2640.6;505885
xxxx;D;200424;000000;2634.8;2655;2606.6;2621;402936
xxxx;D;200427;000000;2652;2715;2647;2715;783496
xxxx;D;200428;000000;2731;2856.8;2716.4;2754.8;1297877
xxxx;D;200429;000000;2800.2;2874;2775.4;2870;777309
xxxx;D;200430;000000;2898;2924;2812.2;2850.8;744921
xxxx;D;200504;000000;2809.8;2848.8;2776.8;2828.8;414159
xxxx;D;200505;000000;2849.8;2876.8;2831;2842.2;352411
xxxx;D;200506;000000;2849;2883.2;2830.2;2864;376841
xxxx;D;200507;000000;2869;2918.8;2858;2910.2;430050
xxxx;D;200508;000000;2975;2992;2933;2975.2;471330
xxxx;D;200512;000000;2968;2979.8;2927;2977;281684
xxxx;D;200513;000000;2958.4;2958.4;2890.4;2893.4;511700
xxxx;D;200514;000000;2875.2;2883;2785.8;2821.8;557815
xxxx;D;200515;000000;2858;2894;2795.8;2839.6;518342
