TICKER,date,OPEN,HIGH,LOW,CLOSE,VOL,value_key_rate,value_petroleum,value_currency
company_6,2020-01-03,453.75,458.65,453.35,456.9,4364310.0,6.25,68.6226,61.234
company_6,2020-01-06,458.8,460.4,453.4,455.6,6817630.0,6.25,68.91,61.234
company_6,2020-01-08,456.0,462.7,451.45,452.0,9228840.0,6.25,64.79,61.234
company_6,2020-01-09,452.4,460.95,450.7,460.2,4979740.0,6.25,65.3377,61.234
company_6,2020-01-10,459.9,475.65,456.85,473.5,6694220.0,6.25,65.021,61.234
company_6,2020-01-13,474.45,482.25,472.15,481.15,4807490.0,6.25,64.2342,60.9474
company_6,2020-01-14,481.2,486.45,472.7,475.5,6552170.0,6.25,64.4199,60.9474
company_6,2020-01-15,474.65,482.1,469.95,474.5,4594560.0,6.25,64.0,61.414
company_6,2020-01-16,477.95,481.5,476.7,480.95,4122720.0,6.25,64.62,61.4328
company_6,2020-01-17,482.45,487.2,481.25,485.15,4462140.0,6.25,64.85,61.5694
company_6,2020-01-20,488.0,489.9,484.65,484.85,3123590.0,6.25,65.2,61.4654
company_6,2020-01-21,482.55,486.85,479.0,486.15,2917150.0,6.25,64.5758,61.4654
company_6,2020-01-22,486.25,488.55,476.05,478.15,11723480.0,6.25,63.21,61.8552
company_6,2020-01-23,475.05,479.7,470.6,473.1,4178020.0,6.25,62.04,61.8343
company_6,2020-01-24,475.1,478.4,473.5,474.0,3296670.0,6.25,60.69,61.9515
company_6,2020-01-27,469.1,473.8,465.8,468.3,5666060.0,6.25,59.32,62.338
company_6,2020-01-28,472.0,477.7,468.2,477.7,5878730.0,6.25,59.51,62.338
company_6,2020-01-29,480.05,482.0,475.6,481.7,6303100.0,6.25,59.81,62.8299
company_6,2020-01-30,480.55,483.3,477.8,481.2,14579330.0,6.25,58.29,62.3934
company_6,2020-01-31,483.6,486.0,478.75,480.5,8590650.0,6.25,56.62,63.0359
company_6,2020-02-03,478.6,481.45,476.6,479.95,4669800.0,6.25,54.45,63.9091
company_6,2020-02-04,481.35,483.0,478.35,480.0,8779820.0,6.25,53.96,63.9091
company_6,2020-02-05,481.0,481.5,474.4,477.0,5656150.0,6.25,55.28,63.4342
company_6,2020-02-06,478.55,480.5,471.0,475.6,4753390.0,6.25,54.93,63.1742
company_6,2020-02-07,475.5,476.75,450.55,463.6,16661800.0,6.25,54.5036,62.7977
company_6,2020-02-10,463.65,463.85,447.8,450.0,8838180.0,6.0,53.27,63.7708
company_6,2020-02-11,454.7,456.7,448.25,454.3,7800690.0,6.0,54.01,63.7708
company_6,2020-02-12,456.45,465.8,455.5,465.8,7398340.0,6.0,55.79,63.949
company_6,2020-02-13,463.8,465.5,458.55,463.0,5194490.0,6.0,56.34,63.047
company_6,2020-02-14,462.6,464.4,456.25,460.5,4927690.0,6.0,57.32,63.6016
company_6,2020-02-17,460.9,464.7,459.7,464.7,2861190.0,6.0,57.75,63.3085
company_6,2020-02-18,462.5,466.0,440.7,452.2,12451240.0,6.0,57.75,63.3085
company_6,2020-02-19,455.4,469.0,455.4,465.65,10639740.0,6.0,59.12,63.7698
company_6,2020-02-20,468.2,476.95,465.6,470.4,9020310.0,6.0,59.31,63.6873
company_6,2020-02-21,468.5,469.0,461.65,461.75,6003350.0,6.0,58.2434,63.7413
company_6,2020-02-25,455.15,458.75,442.7,443.85,7315110.0,6.0,54.95,64.9213
company_6,2020-02-26,441.7,444.6,431.5,443.7,9685810.0,6.0,53.43,64.9213
company_6,2020-02-27,436.9,440.0,420.95,422.05,9692300.0,6.0,52.18,65.5177
company_6,2020-02-28,416.1,417.0,398.15,403.4,18857900.0,6.0,50.52,65.6097
company_6,2020-03-02,410.95,415.4,389.5,394.5,11836540.0,6.0,52.0486,66.3274
company_6,2020-03-03,406.05,411.95,400.5,406.0,11093190.0,6.0,51.9,66.3274
company_6,2020-03-04,402.95,416.55,399.2,415.95,9077990.0,6.0,51.4,66.4437
company_6,2020-03-05,417.8,420.0,408.5,410.6,8604330.0,6.0,49.93,66.0784
company_6,2020-03-06,405.95,406.95,391.05,392.95,12738960.0,6.0,45.5,66.1854
company_6,2020-03-10,353.7,357.4,320.0,326.5,38145830.0,6.0,37.81,72.0208
company_6,2020-03-11,332.7,334.4,310.95,314.05,20713740.0,6.0,35.79,72.0208
company_6,2020-03-12,300.0,305.0,270.8,277.5,29181800.0,6.0,32.66,71.472
company_6,2020-03-13,262.0,288.65,261.4,266.25,44524210.0,6.0,34.67,74.0274
company_6,2020-03-16,266.25,280.0,251.0,258.5,30921610.0,6.0,29.51,74.1262
company_6,2020-03-17,260.65,268.0,246.25,249.15,19681860.0,6.0,28.62,74.1262
company_6,2020-03-18,244.0,244.75,229.8,234.0,19290210.0,6.0,24.88,73.8896
company_6,2020-03-19,237.05,268.65,230.05,264.4,37651340.0,6.0,28.47,77.2131
company_6,2020-03-20,274.5,299.4,272.0,287.75,45298880.0,6.0,26.98,80.157
company_6,2020-03-23,275.0,276.45,265.15,274.0,35798070.0,6.0,27.46,80.8815
company_6,2020-03-24,298.1,301.25,285.45,298.5,22552830.0,6.0,27.47,80.8815
company_6,2020-03-25,304.7,319.75,287.75,304.75,36639270.0,6.0,27.45,78.8493
company_6,2020-03-26,304.5,319.95,291.0,316.2,20450190.0,6.0,26.34,77.7928
company_6,2020-03-27,315.85,322.0,296.3,302.8,13827680.0,6.0,24.93,78.7223
company_6,2020-03-30,316.5,325.75,293.55,301.0,29649570.0,6.0,22.76,76.4074
company_6,2020-03-31,305.15,319.75,304.0,314.35,25479010.0,6.0,22.74,76.4074
company_6,2020-04-01,308.0,324.6,304.2,321.0,18316530.0,6.0,24.74,76.4074
company_6,2020-04-02,334.95,354.3,324.65,340.5,38669380.0,6.0,29.94,76.4074
company_6,2020-04-03,344.05,355.0,340.55,345.0,37173790.0,6.0,34.11,76.4074
company_6,2020-04-06,348.05,352.0,340.25,343.0,18118390.0,6.0,33.05,76.4074
company_6,2020-04-07,350.0,386.95,337.55,339.5,28475380.0,6.0,31.87,76.4074
company_6,2020-04-08,336.95,342.95,335.7,341.5,13988970.0,6.0,32.84,75.455
company_6,2020-04-09,347.85,355.0,341.5,353.0,27072440.0,6.0,31.48,75.7499
company_6,2020-04-10,349.95,350.05,342.15,344.0,12759730.0,6.0,31.74,74.605
company_6,2020-04-13,345.0,346.5,334.4,336.7,9810560.0,6.0,31.74,73.5245
company_6,2020-04-14,339.15,342.0,327.4,330.95,13242050.0,6.0,29.6,73.5245
company_6,2020-04-15,328.0,328.35,304.05,307.25,19838270.0,6.0,27.69,73.315
company_6,2020-04-16,308.55,314.9,296.25,305.75,21543770.0,6.0,27.82,73.7145
company_6,2020-04-17,312.0,314.75,307.3,313.9,14630190.0,6.0,28.08,74.7119
company_6,2020-04-20,310.5,314.5,307.8,307.9,12202180.0,6.0,25.57,74.6657
company_6,2020-04-21,299.25,306.95,293.5,304.0,25171350.0,6.0,19.33,74.6657
company_6,2020-04-22,299.8,329.1,299.2,321.95,24948470.0,6.0,20.37,76.2562
company_6,2020-04-23,329.6,336.8,324.1,335.0,22942560.0,6.0,21.33,77.0416
company_6,2020-04-24,334.5,334.5,322.5,324.0,16513470.0,6.0,21.44,75.129
company_6,2020-04-27,322.75,327.3,319.3,322.9,10219540.0,5.5,19.99,74.496
company_6,2020-04-28,320.9,331.3,318.0,325.1,17579090.0,5.5,20.46,74.496
company_6,2020-04-29,328.15,338.25,326.5,337.95,15348920.0,5.5,22.54,74.5706
company_6,2020-04-30,343.35,346.45,330.3,335.65,17110780.0,5.5,25.27,73.6894
company_6,2020-05-04,330.95,332.75,325.05,331.0,8818640.0,5.5,27.2,73.9719
company_6,2020-05-05,336.95,343.55,334.0,342.5,13954260.0,5.5,30.97,73.9719
company_6,2020-05-06,343.8,344.85,335.0,336.65,14581140.0,5.5,29.72,73.9719
company_6,2020-05-07,337.35,344.55,336.75,343.0,12484260.0,5.5,29.46,73.9719
company_6,2020-05-08,344.05,350.0,340.25,348.0,9539910.0,5.5,30.97,74.1169
company_6,2020-05-12,347.5,355.7,345.2,351.1,11119860.0,5.5,29.98,73.4326
company_6,2020-05-13,350.2,353.15,345.85,348.0,8898600.0,5.5,29.19,73.4326
company_6,2020-05-14,346.4,349.95,344.55,347.15,8913890.0,5.5,31.13,73.5819
company_6,2020-05-15,351.5,354.75,349.35,350.05,9500640.0,5.5,32.5,73.9298
company_6,2020-05-18,357.25,375.95,355.65,375.05,19830000.0,5.5,34.81,72.9798
company_6,2020-05-19,376.2,383.5,371.55,376.5,18924980.0,5.5,34.65,72.9798
company_6,2020-05-20,374.0,384.45,373.25,380.25,14708980.0,5.5,35.75,72.3918
company_6,2020-05-21,378.85,383.35,364.4,367.0,20865440.0,5.5,36.06,72.3381
company_6,2020-05-22,359.7,365.9,358.1,364.5,13719580.0,5.5,35.13,70.924
company_6,2020-05-25,366.5,374.0,366.5,373.95,5281900.0,5.5,35.53,71.5962
company_6,2020-05-26,377.8,380.9,374.4,374.4,10544440.0,5.5,36.17,71.5962
company_6,2020-05-27,374.05,380.0,366.35,374.9,12178980.0,5.5,34.74,71.1408
company_6,2020-05-28,376.75,378.2,372.5,377.45,7316850.0,5.5,35.29,71.0635
company_6,2020-05-29,374.85,376.35,370.4,376.2,10691660.0,5.5,37.84,71.1012
company_6,2020-06-01,380.0,387.0,376.35,378.7,8309570.0,5.5,38.32,69.7114
company_6,2020-06-02,380.9,387.0,379.8,387.0,13073440.0,5.5,39.6,69.7114
company_6,2020-06-03,390.2,397.6,388.4,396.95,13886280.0,5.5,39.79,68.9831
company_6,2020-06-04,396.95,397.3,387.65,390.05,8801280.0,5.5,39.94,68.3413
company_6,2020-06-05,394.2,402.0,393.0,401.95,11584640.0,5.5,42.3,69.0151
company_6,2020-06-08,407.0,408.25,395.0,400.15,12606270.0,5.5,40.76,68.3123
company_6,2020-06-09,402.15,403.9,394.3,402.0,10105280.0,5.5,40.64,68.3123
company_6,2020-06-10,401.6,403.75,397.25,400.3,8809330.0,5.5,41.22,68.6745
company_6,2020-06-11,382.8,382.9,370.5,376.1,15430710.0,5.5,38.33,68.6183
company_6,2020-06-15,368.55,369.05,359.55,366.15,12086540.0,5.5,39.79,70.395
company_6,2020-06-16,372.15,376.8,370.25,371.4,9164100.0,5.5,40.67,70.395
company_6,2020-06-17,372.9,376.85,371.05,371.75,6430580.0,5.5,40.53,69.7524
company_6,2020-06-18,371.65,374.5,369.25,373.65,5305690.0,5.5,41.46,69.4822
company_6,2020-06-19,376.15,378.8,373.7,376.15,7032170.0,5.5,42.19,69.618
company_6,2020-06-22,374.55,379.0,370.5,375.65,5857780.0,4.5,43.03,69.4835
company_6,2020-06-23,376.85,377.75,372.5,373.6,4246480.0,4.5,42.63,69.4835
company_6,2020-06-25,366.8,372.0,362.2,371.5,9231090.0,4.5,41.05,68.8376
company_6,2020-06-26,372.95,372.95,366.0,367.05,3584380.0,4.5,40.71,69.466
company_6,2020-06-29,365.95,367.45,361.7,365.5,4323120.0,4.5,41.46,69.9513
company_6,2020-06-30,365.5,366.2,359.5,361.8,4136850.0,4.5,41.14,69.9513
company_6,2020-07-02,364.1,367.8,362.5,366.05,3681850.0,4.5,43.14,70.4413
company_6,2020-07-03,366.65,368.2,362.95,365.35,3345330.0,4.5,42.8,70.5198
company_6,2020-07-06,367.85,373.65,367.0,368.8,5164220.0,4.5,43.1,71.3409
company_6,2020-07-07,366.0,368.8,364.55,365.85,3424680.0,4.5,43.08,71.3409
company_6,2020-07-08,366.35,366.8,362.75,366.15,2848480.0,4.5,43.29,72.1719
company_6,2020-07-09,366.85,367.45,360.65,364.25,3938460.0,4.5,42.35,71.2379
company_6,2020-07-10,361.4,364.5,356.8,364.0,4238130.0,4.5,43.24,70.88
company_6,2020-07-13,365.8,367.4,354.3,354.95,4992760.0,4.5,42.72,70.7479
company_6,2020-07-14,355.9,355.9,349.05,355.0,7403290.0,4.5,42.9,70.7479
company_6,2020-07-15,355.7,362.95,353.35,358.45,8342140.0,4.5,43.79,71.1275
company_6,2020-07-16,356.95,361.45,355.85,361.1,2849150.0,4.5,43.37,70.7998
company_6,2020-07-17,360.7,362.25,358.35,359.85,2148690.0,4.5,43.14,71.231
company_6,2020-07-20,359.35,361.65,355.9,361.35,3789860.0,4.5,43.28,71.9628
company_6,2020-07-21,362.6,367.75,362.2,364.45,5274330.0,4.5,44.32,71.9628
company_6,2020-07-22,364.05,366.8,362.2,364.7,3385610.0,4.5,44.29,70.9668
company_6,2020-07-23,366.2,366.55,358.1,360.0,3207020.0,4.5,43.31,70.7881
company_6,2020-07-24,358.2,360.7,357.4,359.75,4467990.0,4.5,43.34,70.963
company_6,2020-07-27,360.25,361.0,356.3,358.25,4474730.0,4.25,43.41,71.585
company_6,2020-07-28,358.85,359.3,355.0,355.4,4089570.0,4.25,43.22,71.585
company_6,2020-07-29,356.0,360.4,355.45,360.4,5483200.0,4.25,43.75,71.9196
company_6,2020-07-30,359.3,359.6,352.6,355.85,5643870.0,4.25,42.94,72.2348
company_6,2020-07-31,356.45,358.2,353.5,356.9,4013630.0,4.25,43.3,73.3633
company_6,2020-08-03,356.0,358.35,355.25,356.45,3727140.0,4.25,44.15,74.1586
company_6,2020-08-04,356.55,360.7,355.0,359.8,4723340.0,4.25,44.43,74.1586
company_6,2020-08-05,361.0,365.6,359.0,364.5,7939910.0,4.25,45.17,73.3806
company_6,2020-08-06,365.05,374.85,362.45,369.0,6132800.0,4.25,45.09,73.2806
company_6,2020-08-07,367.85,370.5,365.2,367.15,4822140.0,4.25,44.4,73.0397
company_6,2020-08-10,367.95,370.95,366.6,368.25,3340780.0,4.25,44.99,73.775
company_6,2020-08-11,369.0,371.85,366.7,367.2,6198430.0,4.25,44.5,73.775
company_6,2020-08-12,368.95,379.05,368.55,377.85,7422770.0,4.25,45.43,73.1522
company_6,2020-08-13,378.1,389.7,376.0,387.3,10575180.0,4.25,44.96,73.2351
company_6,2020-08-14,387.9,390.0,382.65,387.95,6085500.0,4.25,44.93,73.6067
company_6,2020-08-17,389.35,393.1,383.2,389.55,6536810.0,4.25,45.37,72.9676
company_6,2020-08-18,387.95,394.3,386.15,391.85,5597370.0,4.25,45.46,72.9676
company_6,2020-08-19,392.25,393.25,385.4,388.5,3868620.0,4.25,45.37,73.4321
company_6,2020-08-20,385.1,386.3,379.1,381.6,5233000.0,4.25,44.9,73.2392
company_6,2020-08-21,382.1,386.2,377.6,382.8,4098640.0,4.25,44.35,73.7711
company_6,2020-08-24,384.55,388.7,383.25,388.65,3239960.0,4.25,45.01,74.4184
company_6,2020-08-25,389.65,393.45,386.7,392.8,5954900.0,4.25,45.86,74.4184
company_6,2020-08-26,393.05,398.5,391.9,397.5,5658370.0,4.25,45.64,74.5126
company_6,2020-08-27,397.5,399.0,388.3,389.65,3885600.0,4.25,45.6,75.5379
company_6,2020-08-28,389.9,391.2,378.8,380.65,3495160.0,4.25,45.05,75.2354
company_6,2020-08-31,382.4,385.0,371.25,373.2,7511950.0,4.25,45.55,73.8039
company_6,2020-09-01,375.0,375.45,369.8,373.9,3555430.0,4.25,45.58,73.8039
company_6,2020-09-02,374.45,377.5,367.3,371.5,4524990.0,4.25,44.43,73.5849
company_6,2020-09-03,371.0,372.35,363.3,366.2,4802920.0,4.25,43.99,73.8588
company_6,2020-09-04,365.7,372.8,365.0,372.5,5653510.0,4.25,42.66,75.468
company_6,2020-09-07,370.0,373.4,367.45,371.4,3413950.0,4.25,41.9,75.591
company_6,2020-09-08,370.5,372.65,364.5,367.9,5020740.0,4.25,39.78,75.591
company_6,2020-09-09,367.8,372.75,367.35,371.8,4596510.0,4.25,40.79,75.9645
company_6,2020-09-10,372.0,373.0,365.65,366.9,4262410.0,4.25,40.06,76.0713
company_6,2020-09-11,367.25,371.7,365.5,370.05,3234080.0,4.25,39.83,75.5274
company_6,2020-09-14,372.0,376.9,370.65,374.45,3274330.0,4.25,39.61,74.7148
company_6,2020-09-15,373.1,385.7,373.1,385.3,4044830.0,4.25,40.53,74.7148
company_6,2020-09-16,386.3,389.9,381.8,385.75,4940960.0,4.25,42.22,75.1884
company_6,2020-09-17,382.6,384.15,378.65,382.55,5316600.0,4.25,43.3,74.9278
company_6,2020-09-18,382.55,384.0,374.5,376.5,4164420.0,4.25,43.15,75.1941
company_6,2020-09-21,375.9,375.95,363.4,368.3,6771470.0,4.25,41.44,76.0381
company_6,2020-09-22,367.6,375.7,366.75,374.8,4161700.0,4.25,41.72,76.0381
company_6,2020-09-23,375.8,379.55,370.15,370.75,3811370.0,4.25,41.77,76.2711
company_6,2020-09-24,373.25,379.0,369.15,376.7,3868270.0,4.25,41.94,76.3545
company_6,2020-09-25,378.15,381.5,376.95,381.4,4443610.0,4.25,41.92,77.178
company_6,2020-09-28,382.35,386.45,380.45,385.9,3432800.0,4.25,42.43,78.6713
company_6,2020-09-29,386.1,389.4,380.8,384.0,4541140.0,4.25,41.03,78.6713
company_6,2020-09-30,382.9,387.95,381.7,383.0,3703610.0,4.25,40.95,79.6845
company_6,2020-10-01,386.7,389.1,382.1,385.45,5599090.0,4.25,40.93,78.7847
company_6,2020-10-02,383.5,384.2,378.1,380.45,5004850.0,4.25,39.27,77.2774
company_6,2020-10-05,383.0,390.7,381.25,390.6,5734850.0,4.25,41.29,78.1281
company_6,2020-10-06,391.55,395.7,389.85,390.2,4588390.0,4.25,42.65,78.1281
company_6,2020-10-07,390.0,392.95,385.45,388.85,4071060.0,4.25,41.99,78.5119
company_6,2020-10-08,390.15,394.2,386.1,392.5,4039530.0,4.25,43.34,78.0921
company_6,2020-10-09,392.25,392.3,383.8,386.55,3072920.0,4.25,42.85,77.9157
company_6,2020-10-12,386.1,387.15,382.7,384.15,4426510.0,4.25,41.72,77.0239
company_6,2020-10-13,384.0,384.5,378.15,378.85,2533980.0,4.25,42.45,77.0239
company_6,2020-10-14,378.95,385.95,376.4,385.4,3024070.0,4.25,43.32,77.2855
company_6,2020-10-15,384.25,384.95,379.2,380.2,3617210.0,4.25,43.16,77.2759
company_6,2020-10-16,378.8,384.35,377.95,382.95,3356330.0,4.25,42.93,77.9461
company_6,2020-10-19,385.05,385.6,379.5,381.55,3104700.0,4.25,42.62,77.9241
company_6,2020-10-20,380.95,385.5,380.0,384.6,2246790.0,4.25,43.16,77.9241
company_6,2020-10-21,384.75,385.3,381.35,383.55,2369990.0,4.25,41.73,77.778
company_6,2020-10-22,382.85,384.85,380.0,381.8,2904200.0,4.25,42.46,77.0322
company_6,2020-10-23,381.45,381.8,378.5,379.85,2406430.0,4.25,41.77,77.0809
